porsiyon,hazirlik_suresi,pisirme_suresi,deftere_ekleme,yorum_sayisi
4-6 kişilik,10dk Hazırlık,15dk Pişirme,43bin,216
4-6 kişilik,30dk Hazırlık,Pişirme yok,44bin,624
1-2 kişilik,10dk Hazırlık,30dk Pişirme,44bin,112
1-2 kişilik,10dk Hazırlık,1 saat Pişirme,42bin,224
4-6 kişilik,15dk Hazırlık,1 saat Pişirme,42bin,403
6-8 kişilik,20dk Hazırlık,30dk Pişirme,39bin,179
10-12 kişilik,15dk Hazırlık,10dk Pişirme,40bin,333
4-6 kişilik,15dk Hazırlık,15dk Pişirme,40bin,99
4-6 kişilik,25dk Hazırlık,25dk Pişirme,39bin,105
4-6 kişilik,10dk Hazırlık,1 saat Pişirme,39bin,724
4-6 kişilik,20dk Hazırlık,30dk Pişirme,38bin,157
6-8 kişilik,30dk Hazırlık,1 saat Pişirme,37bin,110
8-10 kişilik,30dk Hazırlık,30dk Pişirme,35bin,626
2-4 kişilik,30dk Hazırlık,30dk Pişirme,35bin,172
2-4 kişilik,20dk Hazırlık,20dk Pişirme,34bin,142
4-6 kişilik,30dk Hazırlık,15dk Pişirme,33bin,167
2-4 kişilik,1 saat Hazırlık,5dk Pişirme,33bin,65
4-6 kişilik,20dk Hazırlık,45dk Pişirme,31bin,143
2-4 kişilik,5dk Hazırlık,50dk Pişirme,30bin,203
6-8 kişilik,15dk Hazırlık,15dk Pişirme,30bin,242
2-4 kişilik,10dk Hazırlık,30dk Pişirme,30bin,247
4-6 kişilik,40dk Hazırlık,1 saat Pişirme,29bin,200
4-6 kişilik,30dk Hazırlık,40dk Pişirme,29bin,146
4-6 kişilik,15dk Hazırlık,1 saat 15dk Pişirme,29bin,383
4-6 kişilik,10dk Hazırlık,40dk Pişirme,28bin,168
6-8 kişilik,15dk Hazırlık,40dk Pişirme,28bin,116
4-6 kişilik,20dk Hazırlık,50dk Pişirme,27bin,118
6-8 kişilik,10dk Hazırlık,10dk Pişirme,27bin,210
6-8 kişilik,30dk Hazırlık,30dk Pişirme,27bin,133
6-8 kişilik,30dk Hazırlık,1 saat 15dk Pişirme,27bin,295
2-4 kişilik,20dk Hazırlık,20dk Pişirme,26bin,307
1-2 kişilik,15dk Hazırlık,35dk Pişirme,25bin,106
4-6 kişilik,25dk Hazırlık,1 saat 15dk Pişirme,25bin,115
4-6 kişilik,30dk Hazırlık,35dk Pişirme,25bin,157
